case_name,release_date,author_judge,status,appeal_number
"Sanho Corp. v. Kaijet Technology International Limited, Inc.",2024-07-31,STOLL,ingested,23-1336
United States Capitol Police v. Ocwr,2024-07-31,STOLL,ingested,22-1983
United States Capitol Police v. Ocwr,2024-07-31,Hughes,ingested,22-1983
Softview LLC v. Apple Inc.,2024-07-26,REYNA,ingested,23-1005
Softview LLC v. Apple Inc.,2024-07-26,Bryson,ingested,23-1005
Zyxel Communications Corp. v. Unm Rainforest Innovations,2024-07-22,STARK,ingested,22-2220
Zyxel Communications Corp. v. Unm Rainforest Innovations,2024-07-22,STARK,ingested,22-2220
Koss Corporation v. Bose Corporation,2024-07-19,Hughes,ingested,22-2090
Koss Corporation v. Bose Corporation,2024-07-19,CUNNINGHAM,ingested,22-2090
"Miller Mendel, Inc. v. City of Anna, Texas",2024-07-18,CUNNINGHAM,ingested,22-1753
"Miller Mendel, Inc. v. City of Anna, Texas",2024-07-18,CUNNINGHAM,ingested,22-1753
Ravin v. McDonough,2024-07-18,REYNA,ingested,22-2104
Ravin v. McDonough,2024-07-18,Dyk,ingested,22-2104
"Backertop Licensing LLC v. Canary Connect, Inc.",2024-07-16,Hughes,ingested,23-2367
"Backertop Licensing LLC v. Canary Connect, Inc.",2024-07-16,STOLL,ingested,23-2367
Adee Honey Farms v. United States,2024-07-15,Cunningham,ingested,22-2105
Adee Honey Farms v. United States,2024-07-15,Cunningham,ingested,22-2105
"Natera, Inc. v. Neogenomics Laboratories, Inc.",2024-07-12,Chen,ingested,24-1324
"Natera, Inc. v. Neogenomics Laboratories, Inc.",2024-07-12,Chen,ingested,24-1324
Love v. McDonough,2024-07-11,Hughes,ingested,23-1465
Love v. McDonough,2024-07-11,HUGHES,ingested,23-1465
"International Development Solutions, LLC v. Secretary of State",2024-06-26,Hughes,ingested,22-1992
"Amarin Pharma, Inc. v. Hikma Pharmaceuticals USA Inc.",2024-06-25,Lourie,ingested,23-1169
Ravi v. United States,2024-06-25,Taranto,ingested,22-1559
"Beteiro, LLC v. Draftkings Inc.",2024-06-21,Stark,ingested,22-2275
"Beteiro, LLC v. Draftkings Inc.",2024-06-21,Stark,ingested,22-2275
Government of Quebec v. United States,2024-06-21,Reyna,ingested,22-1807
Government of Quebec v. United States,2024-06-21,REYNA,ingested,22-1807
"Hahnenkamm, LLC v. United States",2024-06-21,Dyk,ingested,22-2018
"Hahnenkamm, LLC v. United States",2024-06-21,CUNNINGHAM,ingested,22-2018
Perlick v. DVA,2024-06-20,CUNNINGHAM,ingested,23-1091
Perlick v. DVA,2024-06-20,Cunningham,ingested,23-1091
Chemehuevi Indian Tribe v. United States,2024-06-18,CUNNINGHAM,ingested,21-1366
"Insulet Corp. v. Eoflow, Co. Ltd.",2024-06-17,Lourie,ingested,24-1137
"percipient.ai, Inc. v. United States",2024-06-07,Stoll,ingested,23-1970
Frantzis v. McDonough,2024-06-04,Chen,ingested,22-2210
"Ecofactor, Inc. v. Google LLC",2024-06-03,REYNA,ingested,23-1101
"Ecofactor, Inc. v. Google LLC",2024-06-03,REYNA,ingested,23-1101
The Portland Mint v. United States,2024-05-30,Dyk,ingested,22-2154
The Portland Mint v. United States,2024-05-30,TARANTO,ingested,22-2154
Luca McDermott Catena Gift Trust v. Fructuoso-Hobbs Sl,2024-05-23,CHEN,ingested,23-1383
Luca McDermott Catena Gift Trust v. Fructuoso-Hobbs Sl,2024-05-23,Lourie,ingested,23-1383
Speck v. Bates,2024-05-23,STOLL,ingested,23-1147
Speck v. Bates,2024-05-23,Dyk,ingested,23-1147
"Core Optical Technologies, LLC v. Nokia Corporation",2024-05-21,Taranto,ingested,23-1001
"Core Optical Technologies, LLC v. Nokia Corporation",2024-05-21,Taranto,ingested,23-1001
Lkq Corporation v. Gm Global Technology Operations LLC,2024-05-21,Lourie,ingested,21-2348
