case_name,release_date,author_judge,status,appeal_number
"Energy Heating, LLC. v. Heat On-The-Fly, LLC",2018-05-04,Stoll,ingested,"2016-1559, 2016-1893, 2016-1894"
General Hospital Corporation v. Sienna Biopharmaceuticals,2018-05-04,TARANTO,ingested,2017-1012
In Re: Verhoef,2018-05-03,LOURIE,ingested,2017-1976
"Altaire Pharmaceuticals, Inc. v. Paragon Bioteck, Inc.",2018-05-02,Schall,ingested,2017-1487
Burris v. Wilkie,2018-05-02,,ingested,2017-2001; 2017-2003
"Disc Disease Solutions Inc. v. Vgh Solutions, Inc.",2018-05-01,STOLL,ingested,2017-1483
"Tex. Advanced Optoelectronic Solutions, Inc. v. Renesas Elecs. Am., Inc.",2018-05-01,Taranto,ingested,"2016-2121, 2016-2208, 2016-2235"
"Tex. Advanced Optoelectronic Solutions, Inc. v. Renesas Elecs. Am., Inc.",2018-05-01,Chen,ingested,2016-2121; 2016-2208; 2016-2235
"Progressive Indus., Inc. v. United States",2018-04-30,Reyna,ingested,2017-1941
"01 Communique Laboratory, Inc v. Citrix Online, LLC",2018-04-26,Mayer,ingested,2017-1869
"Gilead Sciences, Inc. v. Merck & Co., Inc.",2018-04-26,,ingested,16-2302
"Bell Supply Company, LLC v. United States",2018-04-25,Hughes,ingested,2017-1492; 2017-1495; 2017-1504
"Gilead Sciences, Inc. v. Merck & Co., Inc.",2018-04-25,Newman,ingested,2016-2302; 2016-2615
"James v. J2 Cloud Services, LLC",2018-04-20,HUGHES,ingested,2017-1506
St. Bernard Parish Government v. United States,2018-04-20,Dyk,ingested,2016-2301; 2016-2373
"Voter Verified, Inc. v. Election Sys. & Software LLC",2018-04-20,REYNA,ingested,2017-1930
"Wi-Fi One, LLC v. Broadcom Corporation",2018-04-20,Reyna,ingested,2015-1944
"Droplets, Inc. v. Etrade Bank",2018-04-19,,ingested,"2016-2504, 2016-2602"
John Bean Technologies v. Morris & Associates Inc,2018-04-19,Reyna,ingested,2017-1502
Raniere v. Microsoft Corporation,2018-04-18,,ingested,"2017-1400, 2017-1401"
Apator Miitors Aps v. Kamstrup A/S,2018-04-17,CHEN,ingested,2017-1681
Agility Logistics Servs. Co. KSC v. Mattis,2018-04-16,Chen,ingested,2015-1555
Sumitomo Dainippon Pharma Co. v. Emcure Pharmaceuticals,2018-04-16,Stoll,ingested,2017-1798; 2017-1799; 2017-1800
Vanda Pharmaceuticals Inc. v. West-Ward Pharmaceuticals,2018-04-13,,ingested,"2016-2707, 2016-2708"
Vanda Pharmaceuticals Inc. v. West-Ward Pharmaceuticals,2018-04-13,Lourie,ingested,16-2707
"Well Luck Company, Inc. v. United States",2018-04-11,Wallach,ingested,2017-1816
Knowles Electronics LLC v. Iancu,2018-04-06,Newman,ingested,2016-1954
Saunders v. Wilkie,2018-04-03,,ingested,2017-1466
"Wwrd US, LLC v. United States",2018-04-02,Clevenger,ingested,2017-1945
"Thyssenkrupp Steel N. Am., Inc. v. United States",2018-03-30,Taranto,ingested,2017-1407
Lledo v. Office of Pers. Mgmt.,2018-03-28,CHEN,ingested,2017-1717
In Re: Brandt,2018-03-27,TARANTO,ingested,2016-2601
"Oracle America, Inc. v. Google Inc.",2018-03-27,,ingested,17-1118
Dss Technology Management v. Apple Inc.,2018-03-23,Newman,ingested,"2016-2523, 2016-2524"
"Dell Inc. v. Acceleron, LLC",2018-03-22,,ingested,17-1101
Gray v. Secretary of Veterans Affairs,2018-03-21,Wallach,ingested,2016-1782; 2016-1793
"Grk Canada, Ltd. v. United States",2018-03-20,Reyna,ingested,2016-2623
Meridian Engineering Company v. United States,2018-03-20,Wallach,ingested,2017-1584
"Dell Inc. v. Acceleron, LLC",2018-03-19,TARANTO,ingested,2017-1101
"In Re: Power Integrations, Inc.",2018-03-19,STOLL,ingested,2017-1304
"Hologic, Inc. v. Smith & Nephew, Inc.",2018-03-14,STOLL,ingested,2017-1389
Wangs Alliance Corp. v. Philips Lighting North America Corp.,2018-03-14,Per Curiam,ingested,2017-1531; 2017-1532
"Atlas IP, LLC v. St. Jude Medical, Inc.",2018-03-13,Per Curiam,ingested,2017-1395
"Cascades Projection LLC v. Epson America, Inc.",2018-03-13,Per Curiam,ingested,2017-1517; 2017-1518
"Chestnut Hill Sound Inc. v. Apple, Inc.",2018-03-13,Per Curiam,ingested,2017-1808
Fed. Educ. Ass'n-Stateside Region v. Dep't of Def.,2018-03-13,Per Curiam,ingested,2015-3173
"Joao Bock Transaction Systems, LLC v. Jack Henry & Associates, Inc.",2018-03-13,Per Curiam,ingested,2016-1887
"Loops LLC v. Phoenix Trading, Inc.",2018-03-13,Per Curiam,ingested,2017-1316
"Nestle USA, Inc. v. Steuben Foods, Inc.",2018-03-13,HUGHES,ingested,2017-1193
"New World International, Inc. v. Ford Global Technologies, LLC",2018-03-13,Per Curiam,ingested,2017-1956
"PPC Broadband, Inc. v. Corning Optical Communications RF, LLC",2018-03-13,Per Curiam,ingested,2017-1347
"Personalized Media Communications, L.L.C. v. Amazon.com, Inc.",2018-03-13,Per Curiam,ingested,2016-2606
"Personalized Media Communications, L.L.C. v. Amazon.com, Inc.",2018-03-13,Per Curiam,ingested,2017-1441
"Steuben Foods, Inc. v. Nestle USA, Inc.",2018-03-13,Hughes,ingested,2017-1290
TCL Corp. v. Telefonaktiebolaget LM Ericsson,2018-03-13,Per Curiam,ingested,2017-1650; 2017-1651; 2017-1653
Trustees of Columbia University of New York v. Symantec Corp.,2018-03-13,Per Curiam,ingested,2016-2551; 2016-2554; 2016-2630; 2016-2631
"Simpleair, Inc. v. Google LLC",2018-03-12,CHEN,ingested,2016-2738
EveryMD.com LLC v. Facebook Inc.,2018-03-09,Per Curiam,ingested,2017-2105
Hendrickson v. United States,2018-03-09,Per Curiam,ingested,2017-1996
Holton v. Dep't of the Navy,2018-03-09,MALLEY,ingested,2017-1430
"In re Knauf Insulation, Inc.",2018-03-09,Per Curiam,ingested,2017-1317; 2017-1323; 2017-1324
Stephens v. United States,2018-03-09,CHEN,ingested,2016-2720
"Capital Security Systems, Inc. v. NCR Corp.",2018-03-07,Per Curiam,ingested,2017-1396
Ottah v. Fiat Chrysler,2018-03-07,Newman,ingested,2017-1842
Philips Lighting Holding B.V. v. Wangs Alliance Corp.,2018-03-07,Per Curiam,ingested,2017-1529
"XPO Logistics Worldwide Government Services, LLC v. United States",2018-03-07,Per Curiam,ingested,2017-2506
"XPO Logistics Worldwide Government Services, LLC v. United States",2018-03-07,Per Curiam,ingested,2018-1202
"Cleveland Assets, LLC v. United States",2018-03-05,STOLL,ingested,2017-2113
Bly v. Shulkin,2018-03-02,Dyk,ingested,2017-1287
"Knowles Electronics LLC v. Cirrus Logic, Inc.",2018-03-01,Newman,ingested,2016-2010
"Nalco Company v. Chem-Mod, LLC",2018-02-27,,ingested,2017-1036
"A. Schulman, Inc. v. Polyone Corp.",2018-02-20,Per Curiam,ingested,2017-2035
Arendi S.A.R.L. v. Google LLC,2018-02-20,MOORE,ingested,2016-1249
In re Janke,2018-02-20,Per Curiam,ingested,2017-1697
"Integrated Technological Systems, Inc. v. First Internet Bank of Indiana",2018-02-20,Per Curiam,ingested,2017-1795
"Aatrix Software, Inc. v. Green Shades Software, Inc.",2018-02-14,TARANTO,ingested,2017-1452
"Cisco Systems, Inc. v. Arista Networks, Inc.",2018-02-14,Per Curiam,ingested,2017-2384
"Travel Sentry, Inc. v. David Tropp",2018-02-14,,ingested,16-2386
Clearon Corp. v. United States,2018-02-13,Per Curiam,ingested,2017-1520; 2017-1528
Cosmo Lighting Inc. v. Orstar Industrial Co.,2018-02-13,Per Curiam,ingested,2017-1804
Gramm v. Deere & Co.,2018-02-13,Per Curiam,ingested,"2017-1252, 2017-1253"
In re Lifewatch Technologies Ltd.,2018-02-13,Per Curiam,ingested,2017-1652
Klippel v. Department of Homeland Security,2018-02-13,Per Curiam,ingested,2017-1636
"Praxair Technology, Inc. v. Air Liquide Large Industries U.S. LP",2018-02-13,Per Curiam,ingested,"2017-1318, 2017-1319"
"Altair Instruments, Inc. v. Kelley West Enterprises, LLC",2018-02-12,Per Curiam,ingested,2017-1194; 2017-1284
Attenuation Environmental Co. v. Chairman of the United States Nuclear Regulatory Commission,2018-02-12,Per Curiam,ingested,2017-1642
"Aviation & Gen. Ins. Co., Ltd. v. United States",2018-02-12,Stoll,ingested,2016-2389; 2016-2402
"Capella Photonics, Inc. v. Cisco Systems, Inc.",2018-02-12,Per Curiam,ingested,"2016-2394, 2016-2395, 2017-1105, 2017-1106, 2017-1107, 2017-1108"
In Re: Hodges,2018-02-12,Circuit Judge,ingested,2017-1434
In re Burgos,2018-02-12,Per Curiam,ingested,2017-1714
In re Schollmayer,2018-02-12,Per Curiam,ingested,2017-1574
"Leitner-Wise v. LWRC International, LLC",2018-02-12,Per Curiam,ingested,2017-1852
Robert Bosch Tool Corp. v. International Trade Commission,2018-02-12,Per Curiam,ingested,2017-1883
Merck Sharp & Dohme Corp. v. Amneal Pharmaceuticals LLC,2018-02-09,Stoll,ingested,2017-1560
O'Farrell v. Dep't of Def.,2018-02-09,Wallach,ingested,2017-1223
"Polaris Industries, Inc. v. Arctic Cat, Inc.",2018-02-09,HUGHES,ingested,2016-1807; 2016-2280
Xitronix Corporation v. Kla-Tencor Corporation,2018-02-09,HUGHES,ingested,2016-2746
Asrari v. Department of Homeland Security,2018-02-08,Per Curiam,ingested,2017-1064
Berkheimer v. Hp Inc.,2018-02-08,STOLL,ingested,2017-1437
"Graphic Packaging International, LLC v. Inline Packaging, LLC",2018-02-08,Per Curiam,ingested,2017-1776
"In Re: Nordt Development Co., LLC",2018-02-08,STOLL,ingested,2017-1445
Komatsu Ltd. v. American Torch Tip Co.,2018-02-08,Per Curiam,ingested,2017-1696
"Blue Spike, LLC v. Adobe Systems, Inc.",2018-02-07,Per Curiam,ingested,2016-1075
Coho Licensing LLC v. Oath Inc.,2018-02-07,Per Curiam,ingested,"2017-1704, 2017-1706, 2017-1707, 2017-1708, 2017-1709, 2017-1710"
Gerace v. Shulkin,2018-02-07,Per Curiam,ingested,2017-1562
Husteel Co. v. United States,2018-02-07,Per Curiam,ingested,"2016-2732, 2017-1013, 2017-1014"
"In re Tecsec, Inc.",2018-02-07,Per Curiam,ingested,2017-1648
"MACOM Technology Solutions Holdings, Inc. v. Infineon Technologies AG",2018-02-07,Per Curiam,ingested,2017-1448
Papierfabrik August Koehler Se v. United States,2018-02-07,Per Curiam,ingested,2016-2425
"Actelion Pharmaceuticals, Ltd. v. Matal",2018-02-06,Lourie,ingested,2017-1238
"Eastman Kodak Co. v. CTP Innovations, LLC",2018-02-06,Per Curiam,ingested,"2017-1278, 2017-1279"
"Elbit Systems of America, LLC v. Thales Visionix, Inc.",2018-02-06,STOLL,ingested,2017-1355
"Medicines Company v. Hospira, Inc.",2018-02-06,HUGHES,ingested,"2014-1469, 2014-1504"
Abbvie Inc. v. Medimmune Limited,2018-02-05,Dyk,ingested,2017-1689
Paice LLC v. Ford Motor Company,2018-02-01,,ingested,"2017-1387, 2017-1388, 2017-1390, 2017-1457, 2017-1458, 2017-1406"
Kisor v. Shulkin,2018-01-31,Malley,ingested,2016-1929
New York & Presbyterian Hospital v. United States,2018-01-31,Malley,ingested,2017-1180
"MacOm Technology Solutions Holdings, Inc. v. Infineon Technologies AG",2018-01-29,Stoll,ingested,2017-1448
"Core Wireless Licensing S.A.R.L. v. LG Electronics, Inc.",2018-01-25,Wallach,ingested,2016-2684; 2017-1922
"Maxlinear, Inc. v. Cf Crespe LLC",2018-01-25,REYNA,ingested,2017-1039
"Arthrex, Inc. v. Smith & Nephew, Inc.",2018-01-24,Newman,ingested,2017-1239
"AgustaWestland North America, Inc. v. United States",2018-01-23,Hughes,ingested,2017-1082
"Glycine & More, Inc. v. United States",2018-01-23,CHEN,ingested,2017-1312
"In Re: Janssen Biotech, Inc.",2018-01-23,WALLACH,ingested,2017-1257
Changzhou Trina Solar Energy Co. v. United States International Trade Commission,2018-01-22,Taranto,ingested,2016-1053
"Flexuspine, Inc. v. Globus Medical, Inc.",2018-01-19,Dyk,ingested,2017-1188; 2017-1189
"In re Proboknow, LLC",2018-01-19,Per Curiam,ingested,2017-1217
"Securiforce International America, LLC v. United States",2018-01-17,Dyk,ingested,2016-2589; 2016-2638
"BCE, Inc. v. Shulkin",2018-01-16,Per Curiam,ingested,2017-1171
Erwin v. Department of the Army,2018-01-16,Per Curiam,ingested,2017-1137
In re Yik Wai Tsui,2018-01-16,Per Curiam,ingested,2017-1204
"Knauf Insulation, Inc. v. Johns Manville Corp.",2018-01-16,Per Curiam,ingested,2017-1433
"OpenTV, Inc. v. Matal",2018-01-16,Per Curiam,ingested,2017-1250
"Parallel Networks, LLC v. SG Interactive Inc.",2018-01-16,Per Curiam,ingested,2016-2741; 2016-2742; 2016-2743; 2016-2744
"Tinnus Enterprises, LLC v. Telebrands Corp.",2018-01-16,Per Curiam,ingested,2017-1175; 2017-1760; 2017-1811
"Tinnus Enterprises, LLC v. Telebrands Corp.",2018-01-16,Per Curiam,ingested,2017-2194
"Veterans Electric, LLC v. United States",2018-01-16,Per Curiam,ingested,2017-1655
"ZoomEssence, Inc. v. Matal",2018-01-16,Per Curiam,ingested,2017-1581
Brown v. Shulkin,2018-01-12,Per Curiam,ingested,2018-1072
"Continental Service Group, Inc. v. United States",2018-01-12,Per Curiam,ingested,2017-2391
"Exmark Manufacturing Co. v. Briggs & Stratton Power Products Group, LLC",2018-01-12,Stoll,ingested,2016-2197
"In re Mosa Boutique, LLC",2018-01-12,Per Curiam,ingested,2017-1129
In re Yongping Dai,2018-01-12,Per Curiam,ingested,2017-1436
"SAP America, Inc. v. Wellogix, Inc.",2018-01-12,Per Curiam,ingested,2017-1176
Advanced Video Technologies v. Htc Corporation,2018-01-11,Newman,ingested,2016-2309; 2016-2310; 2016-2311
"Mobile Telecommunications Technologies, LLC v. United Parcel Service, Inc.",2018-01-11,Per Curiam,ingested,2017-1254
"RQ Squared, LLC v. States",2018-01-11,Per Curiam,ingested,2017-1632
"Finjan, Inc. v. Blue Coat Systems, Inc.",2018-01-10,Dyk,ingested,2016-2520
"Mya Saray, LLC v. Dabes",2018-01-10,Per Curiam,ingested,2017-1044
Queen's University at Kingston v. Samsung Electronics Co.,2018-01-10,Per Curiam,ingested,2016-2723; 2016-2725
York Telecom Corp. v. States,2018-01-10,Per Curiam,ingested,2017-1598
"ZKey Investments, LLC v. Facebook, Inc.",2018-01-10,Per Curiam,ingested,2017-1429
"Alexsam, Inc. v. WildCard Systems, Inc.",2018-01-09,Per Curiam,ingested,2017-1682
"Douglas P. Fleming, LLC v. Secretary of Veterans Affairs",2018-01-09,Per Curiam,ingested,2017-1515
United States Capitol Police v. Office of Compliance,2018-01-08,Chen,ingested,2016-2712 2017-1024
"Wi-Fi One, LLC v. Broadcom Corporation",2018-01-08,HUGHES,ingested,2015-1944; 2015-1945; 2015-1946
Monsanto Technology LLC v. E.I. Dupont De Nemours & Co.,2018-01-05,WALLACH,ingested,2017-1032
"Pleasure-Way Industries, Inc. v. United States",2018-01-05,Taranto,ingested,2017-1190
"Capella Sales & Services Ltd. v. United States, Aluminum Extrusions Fair Trade Committee",2018-01-04,Lourie,ingested,2016-2649; 2017-1196
"Alpine Pcs, Inc. v. United States",2018-01-02,TARANTO,ingested,2017-1029
Bryant v. Merit Systems Protection Board,2017-12-29,Lourie,ingested,2017-1241; 2017-1243; 2017-1245
"Microsoft Corporation v. Biscotti, Inc.",2017-12-28,NEWMAN,ingested,2016-2080; 2016-2082; 2016-2083
Henderson v. Department of Veterans Affairs,2017-12-26,STOLL,ingested,2017-1071
"Regeneron Pharmaceuticals, Inc. v. Merus N.V.",2017-12-26,NEWMAN,ingested,2016-1346
"Bosch Automotive Service Solutions, LLC v. Matal",2017-12-22,Chen,ingested,2015-1928
"Chemtall, Inc. v. United States",2017-12-21,Bryson,ingested,2016-2380
In re Rissio,2017-12-19,Per Curiam,ingested,2017-1090
"SP Plus Corp. v. IPT, LLC",2017-12-19,Per Curiam,ingested,2017-1539
"SP Plus Corp. v. IPT, LLC",2017-12-19,Per Curiam,ingested,2017-2151
"Travel Sentry, Inc. v. David Tropp",2017-12-19,,ingested,"2016-2386, 2016-2387, 2016-2714, 2017-1025"
Crediford v. Shulkin,2017-12-18,Newman,ingested,2016-1386
"HTC Corp. v. Cellular Communications Equipment, LLC",2017-12-18,TARANTO,ingested,2016-1880
In Re: Erik Brunetti,2017-12-15,DYK,ingested,2015-1109
Research Frontiers Inc. v. E Ink Corp.,2017-12-15,Per Curiam,ingested,2017-1599
Amgen Inc. v. Sandoz Inc.,2017-12-14,Lourie,ingested,2015-1499
Ebanks v. Shulkin,2017-12-14,Dyk,ingested,2017-1277
Brown v. Shulkin,2017-12-13,Per Curiam,ingested,2017-1006
In re Ellis,2017-12-13,Per Curiam,ingested,2016-2372
In re Thomas,2017-12-13,Per Curiam,ingested,2017-1149
"Regency Construction, Inc. v. Department of Agriculture",2017-12-13,Per Curiam,ingested,2016-2600
"Rothschild Digital Media Innovations, LLC v. Sony Interactive Entertainment America, LLC",2017-12-13,Per Curiam,ingested,2017-1282
Daiichi Sankyo Co. v. Accord Healthcare Inc.,2017-12-12,Per Curiam,ingested,"2017-1052, 2017-1053"
Delphix Corp. v. Matal,2017-12-12,Per Curiam,ingested,"2016-2063, 2016-2064, 2016-2065, 2016-2069"
Delphix Corp. v. Matal,2017-12-12,Per Curiam,ingested,2016-2072
Delphix Corp. v. Matal,2017-12-12,Per Curiam,ingested,"2016-2067, 2016-2068"
Lentz v. Merit Systems Protection Board,2017-12-12,HUGHES,ingested,2017-1285
"Ariosa Diagnostics, Inc. v. Illumina, Inc.",2017-12-11,Moore,ingested,"2016-2388, 2017-1020"
"Inventor Holdings, LLC v. Bed Bath & Beyond, Inc.",2017-12-08,STOLL,ingested,2016-2442
"Nobelbiz, Inc. v. Global Connect, L.L.C.",2017-12-08,Reyna,ingested,16-1104
"Nobelbiz, Inc. v. Global Connect, LLC",2017-12-08,Per Curiam,ingested,2016-1104; 2016-1105
"Unified Messaging Solutions LLC v. Google, Inc.",2017-12-08,Per Curiam,ingested,"2014-1611, 2016-1065, 2016-2150, 2016-2212"
Wells v. Merit Systems Protection Board,2017-12-08,Per Curiam,ingested,2017-1298
Arctic Cat Inc. v. Bombardier Recreational Products Inc.,2017-12-07,Moore,ingested,2017-1475
CF CRESPE LLC v. Silicon Laboratories Inc.,2017-12-07,Per Curiam,ingested,2017-1072
"Summit 6, LLC v. Google LLC",2017-12-07,Per Curiam,ingested,"2017-1184, 2017-1185"
"Crfd Research, Inc. v. Matal",2017-12-05,,ingested,2016-2198; 2016-2298; 2016-2437
Morrison v. Department of the Nayy,2017-11-29,BRYSON,ingested,2016-2542
"Presidio Components, Inc. v. American Technical Ceramics Corp.",2017-11-21,Dyk,ingested,2016-2607; 2016-2650
Basf Corporation v. Johnson Matthey Inc.,2017-11-20,TARANTO,ingested,2016-1770
"Cequent Performance Products, Inc. v. Hopkins Manufacturing Corp.",2017-11-20,Per Curiam,ingested,2016-2701
"Intellectual Ventures I LLC v. FTD Companies, Inc.",2017-11-20,Per Curiam,ingested,"2017-1376, 2017-1377"
Gray v. Secretary of Veterans Affairs,2017-11-16,DYK,ingested,2016-1782; 2016-1793
"In Re: Micron Technology, Inc.",2017-11-15,HUGHES,ingested,2017-138
"In re NPS Pharmaceuticals, Inc.",2017-11-15,Per Curiam,ingested,"2017-1392, 2017-1393"
In re Dehlin,2017-11-14,Per Curiam,ingested,2017-1000
In re Rockenberger,2017-11-14,Per Curiam,ingested,2017-1035
Marchena v. United States,2017-11-14,Per Curiam,ingested,2017-1476
"Netlist, Inc. v. Sandisk LLC",2017-11-14,Per Curiam,ingested,"2016-2274, 2016-2275, 2016-2338, 2016-2339"
"Smart Modular Technologies, Inc. v. Netlist, Inc.",2017-11-14,Per Curiam,ingested,2016-2666; 2016-2667
United Therapeutics Corp. v. Steadymed Ltd.,2017-11-14,Per Curiam,ingested,2017-2121
Guangdong Dongyuan Kitchenware Industrial Co. v. Elkay Manufacturing Co.,2017-11-13,Per Curiam,ingested,2016-2637
"Munchkin, Inc. v. Luv N' Care, Ltd.",2017-11-13,Per Curiam,ingested,2017-1179
Promega Corp. v. Life Technologies Corp.,2017-11-13,Chen,ingested,"2013-1011, 2013-1029, 2013-1376"
Scott v. Department of State,2017-11-13,Per Curiam,ingested,2017-1203
"Security People, Inc. v. Ojmar US, LLC",2017-11-13,Per Curiam,ingested,2017-1385
Stambler v. Mastercard International Inc.,2017-11-13,Per Curiam,ingested,2017-1272
Yongjiang Yin v. Sure-Fire Electrical Corp.,2017-11-13,Per Curiam,ingested,"2016-2686, 2016-2728"
Kahr v. Cole,2017-11-09,Per Curiam,ingested,2017-1391
Sanofi v. Watson Laboratories Inc.,2017-11-09,Taranto,ingested,"2016-2722, 2016-2726"
"Specialty Fertilizer Products, LLC v. Shell Oil Co.",2017-11-08,Per Curiam,ingested,2016-2347
"Word to Info, Inc. v. Facebook Inc.",2017-11-08,Per Curiam,ingested,2017-1431
Simmons v. Secretary of Health & Human Services,2017-11-07,Taranto,ingested,2017-1405
Freeman v. United States,2017-11-03,Wallach,ingested,2016-2694
Ingham Regional Medical Center v. United States,2017-11-03,Hughes,ingested,2016-2081
"Bayer Pharma Ag v. Watson Laboratories, Inc.",2017-11-01,Moore,ingested,2016-2169
"Dragon Intellectual Property, LLC v. Apple Inc.",2017-11-01,Stoll,ingested,2016-2186; 2016-2453; 2016-2454; 2016-2456; 2016-2459; 2016-2460; 2016-2461; 2016-2462; 2016-2463; 2016-2464
"Dragon Intellectual Property, LLC v. Unified Patents, Inc.",2017-11-01,Stoll,ingested,2016-1813
"Two-Way Media Ltd. v. Comcast Cable Communications, LLC",2017-11-01,Reyna,ingested,"2016-2531, 2016-2532"
"Mastermine Software, Inc. v. Microsoft Corporation",2017-10-30,STOLL,ingested,2016-2465
"Merck Sharp & Dohme Corp. v. Hospira, Inc.",2017-10-26,NEWMAN,ingested,2017-1115
Parkinson v. Department of Justice,2017-10-26,LINN,ingested,2015-3066
"Silver Peak Systems, Inc. v. Matal",2017-10-24,,ingested,2015-2072
"Worldwide Oilfield Machine, Inc. v. Ameriforge Group, Inc.",2017-10-24,Per Curiam,ingested,2016-2344
"Smart Systems Innovations, LLC v. Chicago Transit Authority",2017-10-19,,ingested,16-1233
"Smart Systems Innovations, LLC v. Chicago Transit Authority",2017-10-18,LINN,ingested,2016-1233
"Classen Immunotherapies, Inc. v. Elan Pharmaceuticals, Inc.",2017-10-17,Per Curiam,ingested,2017-1033
"In re Docter Optics, SE",2017-10-17,Per Curiam,ingested,2017-1126
O'Lague v. Department of Veterans Affairs,2017-10-17,Per Curiam,ingested,2016-2300
SNF Holding Co. v. BASF Corp.,2017-10-17,Per Curiam,ingested,2016-2565
"Secured Mail Solutions LLC v. Universal Wilde, Inc.",2017-10-16,REYNA,ingested,2016-1728
Creative Technology Ltd. v. International Trade Commission,2017-10-13,Per Curiam,ingested,2016-2715
"Federal Education Ass'n-Stateside Region v. Department of Defense, Domestic Dependents Elementary & Secondary School",2017-10-13,Stoll,ingested,2015-3173
Ruffin v. Shulkin,2017-10-13,Per Curiam,ingested,2016-2401
"Droplets, Inc. v. Matal",2017-10-11,Per Curiam,ingested,2016-2140
In re Openings,2017-10-11,Per Curiam,ingested,2016-2307
NICE Systems Ltd. v. ClickFox Inc.,2017-10-11,Per Curiam,ingested,2017-1041
ORGANIK KIMYA AS v. ROHM AND HAAS COMPANY,2017-10-11,Newman,ingested,2015-1983; 2015-2001
Owens Corning v. Fast Felt Corporation,2017-10-11,Taranto,ingested,2016-2613
"R+L Carriers, Inc. v. Microdea, Inc.",2017-10-11,Per Curiam,ingested,"2016-2688, 2016-2689, 2016-2690, 2016-2692"
"Whitepages, Inc. v. Isaacs",2017-10-11,Per Curiam,ingested,2016-2672; 2017-1299
In re Levenstein,2017-10-10,Per Curiam,ingested,2017-1067
"Global Check Services, Inc. v. Electronic Payment Systems, LLC",2017-10-06,Per Curiam,ingested,2017-1062
"Amgen Inc. v. Sanofi, Aventisub LLC",2017-10-05,Hughes,ingested,2017-1480
"Goodman v. Smart Modular Technologies, Inc.",2017-10-05,Per Curiam,ingested,2017-1084
"Aqua Products, Inc. v. Matal",2017-10-04,HUGHES,ingested,2015-1177
Faro v. Matal,2017-10-04,Per Curiam,ingested,2016-2716
"In re Intellectual Ventures II, LLC",2017-10-03,Per Curiam,ingested,2016-2416
Jang v. Boston Scientific Corporation,2017-09-29,Chen,ingested,2016-1275; 2016-1575
"Cisco Systems, Inc. v. International Trade Commission",2017-09-27,Reyna,ingested,2016-2563; 2016-2539
"In Re: Smith International, Inc.",2017-09-26,HUGHES,ingested,2016-2303
"J Squared, Inc. v. Sauder Manufacturing Co.",2017-09-25,Per Curiam,ingested,"2016-2570, 2016-2571, 2016-2620, 2016-2621"
In Re: Cray Inc.,2017-09-21,STOLL,ingested,2017-129
"NFC Technology, LLC v. Matal",2017-09-20,Per Curiam,ingested,2016-1809
"Nfc Technology, LLC v. Matal",2017-09-20,Lourie,ingested,2016-1808
"Front Row Technologies LLC v. MLB Advanced Media, L.P.",2017-09-18,Per Curiam,ingested,2016-2604
Goodman v. Shulkin,2017-09-18,Wallach,ingested,2016-2142
In re Nomula,2017-09-18,Per Curiam,ingested,2016-2735
"Radware, Ltd. v. F5 Networks, Inc.",2017-09-18,Per Curiam,ingested,"2017-1212, 2017-1248"
First Data Corporation v. Inselberg,2017-09-15,,ingested,2016-2677; 2016-2696
"Idemitsu Kosan Co., Ltd. v. Sfc Co. Ltd.",2017-09-15,Chen,ingested,2016-2721
"MiMedx Group, Inc. v. Musculoskeletal Transplant Foundation",2017-09-14,Per Curiam,ingested,2017-1043
"Allied Mineral Products, Inc. v. Osmi, Inc.",2017-09-13,STOLL,ingested,2016-2641
Intellectual Ventures I LLC v. Motorola Mobility LLC,2017-09-13,NEWMAN,ingested,2016-1795
"Waymo LLC v. Uber Technologies, Inc.",2017-09-13,Wallach,ingested,2017-2235; 2017-2253
"Waymo LLC v. Uber Technologies, Inc.",2017-09-13,Newman,ingested,2017-2130
"Lummi Tribe of Lummi Reservation, Washington v. United States",2017-09-12,,ingested,2016-2196
Petter Investments v. Hydro Engineering,2017-09-11,Per Curiam,ingested,2016-2634
Viraj Profiles Ltd. v. International Trade Commission,2017-09-11,Per Curiam,ingested,2016-2482
In re Radcliffe,2017-09-08,Per Curiam,ingested,2017-1069
Intercontinental Great Brands v. Kellogg North America Company,2017-09-08,,ingested,15-2082
LaFortune v. Shulkin,2017-09-08,Per Curiam,ingested,2016-2350
Southwire Company v. Cerro Wire LLC,2017-09-08,HUGHES,ingested,2016-2287
"Brunswick Corp. v. Cobalt Boats, LLC",2017-09-07,Per Curiam,ingested,2017-1065
"Christy, Inc. v. Black & Decker (U.S.), Inc.",2017-09-07,Per Curiam,ingested,2016-2499
"Christy, Inc. v. Black & Decker (U.S.), Inc.",2017-09-07,Per Curiam,ingested,2016-2498
Intercontinental Great Brands v. Kellogg North America Company,2017-09-07,REYNA,ingested,2015-2082; 2015-2084
Kisor v. Shulkin,2017-09-07,Schall,ingested,2016-1929
"Lifetime Industries, Inc. v. Trim-Lok, Inc.",2017-09-07,MALLEY,ingested,2017-1096
Piccolo v. Merit Systems Protection Board,2017-09-07,Prost,ingested,2016-2374
Reynolds Presto Products Inc. v. International Trade Commission,2017-09-07,Per Curiam,ingested,2017-1027
"Source Search Technologies, LLC v. Kayak Software Corp.",2017-09-07,Per Curiam,ingested,2017-1384
Yanko v. United States,2017-09-06,Bryson,ingested,2017-1177
